song_id,song_name,artist,album,song_popularity,if_info_collected
,You Belong To Me,Michael Bublé,Shrek (Music From the Original Motion Picture),null,0
,On The Line,Michael Jackson,King of Pop [Box set],null,0
,Blame lt On The Girls,MIKA,Blame It on the Girls (In the Style of Mika) [Karaoke Version] - Single,null,0
,Cover Girl,Mike Francis,Anthology,null,0
,Don't Start Giving Up,Mike Francis,Anthology,null,0
,Dusty Road,Mike Francis,Anthology,null,0
,Let's Not Talk About lt,Mike Francis,Anthology,null,0
,Special Girl,Mike Francis,Anthology,null,0
,This Love,Mike Francis,Anthology,null,0
,Try Love,Mike Francis,Anthology,null,0
,You Can't Get Out Of My Heart,Mike Francis,Anthology,null,0
,Don't Dream lt's Over,"Miley Cyrus , Ariana Grande",The Backyard Sessions,null,0
,Have A Good Life(电影《恋人絮语》主题曲),Miss D.D,Miss D.D同名专辑,null,0
,What A Difference A Day Made,Miss D.D,Miss D.D同名专辑,null,0
,Hideaway (Mitch Murder Remix),Mitch Murder,Selection 3,null,0
,Sunny Side Of The Street,Monkey Doo,Swing Brother Swing,null,0
,Party Up,Multipac,The 80's Dream Compilation Tape - Vol. 2,null,0
,L-0-V-E,Nat King Cole,The Classic Singles,null,0
,One's First Love,Neighbors Complain,A life like ice cream,null,0
,Look Again,Nelson Rangell,Look Again,null,0
,Pink Champagne,Nick Lopez,Pink Champagne,null,0
,Love Me Tender (princess Diaries 2 Ost),Norah Jones,The Greatest Hits (Limited Edition),null,0
,The Story,Norah Jones,My Blueberry Nights (Music From the Motion Picture),null,0
,Gun's & Roses,Paradise Lunch,BACCANO! O.S.T SPIRAL MELODIES(永生之酒),null,0
,Can't Smile without You,Peppi Kamadhatu,Jazz For Romantic Moments,null,0
,Oh Honey (Poolside Edit),Poolside,Oh Honey,null,0
,DigiBeAr - Show girl - (king Battle Edit),POPPING国王,【震感舞】Poppin狠货 - Popping国王,null,0
,I Like Funky Music,"Prince, Doug E.Fresh",New Power Soul,null,0
,Something's Gotta Give,Raveena,Something's Gotta Give,null,0
,Big Bad Love,"Ray Charles, Diana Ross",Genius & Friends,null,0
,Shout,"Ray Charles, Patti LaBelle",Genius & Friends,null,0
,lmagine,"Ray Charles, Ruben Studdard",The Essential,null,0
,The House of the Rising Sun 日昇之屋,River Star,麥田中的鄉村歌謠 第一輯,null,0
,Do lt Roger,Roger,All the Greatest Hits,null,0
,Sally don't wait!,RollingZoos,Sally don't wait!!,null,0
,Shoes,Olli aka Mercy-1,Boogaloo Danger Vol.2 EP,null,0
,Heartache,Pepsi & Shirley,The Best of Hollywood East,null,0
,Yesterday ls Here,Tom Waits,Frank’s Wild Years (2023 Remaster),null,0
,且比巴亚特木卡姆 朱拉(片段),"Sanubar Tursun, 鲸鱼马戏团",离海最远的地方 Bonus track,null,0
,Shame (Tribute version originally performed by Zhane),Various Artists,Shame,null,0
